precipitacao;temperatura;umidade;velocidade
0;17,96;51,25;4,333333
0;18,6;54;2,009627
0;20,38;47,5;3,333333
0;21,16;43;1,676293
0;21,54;44;1
0;21,14;42,75;1,676293
0;21,86;47,25;0,666667
0;22,36;41,75;1,333333
0;23,28;46,5;0,34296
0;23,7;44,75;1,352587
0;23,66;45;0,34296
0;23,88;44,5;2,009627
0;24,32;43,25;0
0;20,5;57;1,676293
0;20,14;58,25;1,34296
0;19,12;69;2
0;20,32;57,25;3,333333
0;19,96;45,75;2,009627
0;18,58;36,75;2
0;19,96;30;1,366667
0;21,12;40;2,333333
0;21,74;39;2,34296
0;23,06;33,5;1
0;23,64;36,75;3
0;22,86;32,75;2,666667
0;21,54;38,75;3,333333
0;21,22;41,75;2,666667
0;21,94;35,75;2,019253
0;22,34;36,5;2,333333
0;22,54;41,5;1,34296
0;23,28;38;2
0;23,8;32,5;1,333333
0;23,3;37,5;3
0;23,14;28,5;2
0;23,96;25,25;3,666667
0;23,6;31,25;2,666667
0;22,52;35,25;5
0;23,5;28,25;2,009627
0;23,22;39;0
0;26,04;36,25;0
0;23,22;67,25;4
4,4;19,84;83;2
0;23,62;42,75;2
28;25,24;31,5;3,666667
0;26,4;20;3,666667
0;27,2;28,75;3,666667
0;26,82;25,25;3,666667
0;26,4;23;2,333333
0;27,04;28;3,009627
0;28;17,5;3
0;27,14;26,5;6
0;26,68;36,5;2,676293
0;28,24;23,75;2,666667
0;28,28;27;1,68592
0;27,96;34,25;1,7148
0;26,5;50,5;2,676293
0;21,42;75,5;2,666667
0;24,72;53,75;1
0;22,86;62,75;1,352587
4,5;23,34;56,5;2,019253
0;24,7;49,75;0,666667
0;25,7;47,5;2,019253
0;25,14;51,5;1,666667
0;22,3;73;2,34296
65,2;19,4;93;1,02888
1,5;20,14;86,75;2,333333
2,7;20,66;84,25;1
2,9;22,06;76,25;1,352587
6,4;21,78;76,75;0
18,4;20,22;85,75;2,352587
0,8;22,6;71;6,666667
0;21,3;83,75;1,34296
11,4;22,62;73,25;2
5,4;20,66;87,75;2,333333
0,2;22,8;68,5;0
0;22,86;85,75;2
27,8;20,08;85,5;3,333333
9,3;20,06;86,75;1,009627
0,2;20,86;81;1
34,1;20,1;84,75;2
36,4;20,24;77;0
4,5;23,36;55,75;1,352587
0;22,8;72,75;0
4,5;22,78;68,25;1,68592
0;23,98;57,75;2,666667
0,9;23,78;63,5;1,676293
0;22,22;67,5;0
0;23,16;73,25;2
23,2;21,46;81;0
6,3;21,3;83;0,68592
1,3;21,24;87,25;0,34296
11,8;22,12;68,75;2,009627
13,8;21,98;79;2,666667
13,2;21,2;83,5;1,34296
1,5;22,48;73,5;2,34296
31,5;18,94;93,75;2,666667
0;22,7;73;2
2,8;24,08;56;3
0,1;23,04;71,25;2
0;20,7;79,75;3
0,7;21,14;70;4
0,1;19,66;84;1,333333
0,6;21,56;60;3,666667
0;22,34;56,25;3
0;22,5;59,5;2
0;22,32;56,75;3,666667
0;22,04;58,75;2,676293
0;23,8;48,75;2,34296
0;24,22;54,5;0,68592
0;25,2;49;1,34296
0;24,18;62;2,676293
0;23,7;75,25;2
1,9;22,22;80,5;1,352587
7,2;22,3;78,5;0,68592
1,1;22,72;72,75;2,333333
5,5;21,28;79,75;3
6,3;20,82;75,25;3,333333
8,5;20,02;89,75;2
8,4;21,04;85,5;2,352587
1,1;23,76;54;3
0;24,1;53,75;1,676293
0;24,96;47,25;3
0;23,26;60,25;0
0;24,58;46,25;2,34296
0;25,22;42,75;3
0;23,48;80;1
6,3;22,66;74,5;2,34296
0,9;22,34;80;3
12;21,14;90,75;0
24,4;20,82;86,25;3
21,7;21,32;82,5;2
9;21,26;84,25;2,666667
16,5;20,44;86,75;1,333333
5,8;21,54;79,25;2
0;22,7;65,75;3
0;23,84;55,75;2,352587
0;23,96;58,5;1,333333
0;23,66;61;1,34296
0;22,16;77,75;1,02888
1,4;22,02;75,25;1,34296
5,8;21,68;74,25;1,333333
31;20,36;81,75;0,34296
9,8;22,88;62,5;0
0;24,56;62;2,34296
0;22,84;71;2,666667
8;22,82;74,5;0
0;22,82;73,75;1,666667
32,2;22,12;80,75;0
3,8;22,32;80;1,676293
0;22,16;87;0
11,4;23,68;68,5;1
2,8;21,68;82,25;1,666667
0;21,36;83,5;2,34296
0,2;19,44;91;0
10,7;21,12;75;0,34296
0;23,08;69,5;2,68592
0;23,26;55,5;1,666667
0;23,12;56,5;2,34296
0;23,6;51;2,676293
0;23,36;58,75;3
0;23,46;51,5;3,666667
0;23,48;51,5;2
