precipitacao;temperatura;umidade;velocidade
0;20,9;49,5;1,7148
0;23,06;34,75;1,02888
0;22,4;33,25;2,40072
0;23,3;27,75;3,4296
0;25,16;18,25;1,7148
0;25,42;23;2,05776
0;26,44;20,5;2,40072
0;25,6;28;2,05776
0;23,96;49,25;1,02888
0;24,2;50,25;3,08664
0,1;23,2;47;2,40072
5,7;21,72;70;2,74368
9,2;22,04;63,5;0
0;23,54;64,25;1,37184
0;23,28;65,25;1,37184
7;21,92;89,25;3,4296
12,5;21;79,25;2,05776
0;22,52;68,5;2,40072
0;20,92;78,75;4,11552
0;22,74;58,75;1,88628
0;23,18;62,5;2,74368
0;23,94;49,25;2,05776
0;24,12;58,75;1,7148
0;24,5;50;4,287
0;23,58;57,5;3,08664
0;22,42;62,5;0,34296
0;23,24;60,75;2,05776
0;23,5;61,25;0,34296
0;21,84;73,5;3,77256
0;24,16;56,5;1,37184
0;21,5;71,75;1,7148
0,1;23,48;59;1,7148
0,6;23,14;59,5;4,62996
0;23,94;43,75;3,77256
0;26,02;30,25;5,48736
0;25,58;28;3,08664
0;24,7;31,75;4,80144
0;24,84;35;2,05776
0;24,22;38,75;3,08664
0;23,56;37,25;2,74368
0;25,54;26,5;3,4296
0;25,66;30,25;2,40072
0;26,56;39,25;1,7148
0;26,3;32,75;2,05776
0;23,52;64,75;3,77256
0,3;23,82;54,5;1,02888
0,9;20,62;83,5;1,7148
1;20,88;72,75;1,7148
0;24,28;48;2,74368
0;22,62;59,75;2,05776
1,4;22,6;63,5;1,7148
14,3;23,74;53,5;2,05776
0,7;22,58;70,25;4,287
0,3;23,86;59;2,05776
0;22,88;83,5;0
15,2;22,2;78,5;0,68592
33,9;19,24;90,5;0
11;17,2;89,5;3,08664
1,8;17,42;81,25;2,05776
0;20,3;62,5;2,05776
0;21,32;71,25;2,40072
0;23,26;58;2,74368
3,6;20,74;73;1,7148
26,5;22,66;58;2,40072
0;22,36;80,25;1,37184
49,6;21;78,5;1,02888
6,4;20,32;85,25;1,37184
0,7;22,18;74,75;2,40072
0;21,86;84;0
22,8;20,86;89,75;1,02888
89,2;20,66;85,5;1,02888
11;22,56;66,75;2,05776
0;22,38;74;2,74368
20;20,1;71,25;1,37184
2,6;19,44;81,5;3,4296
4,4;20,56;78,25;2,05776
6;22,2;69,25;1,7148
0;21,64;77,5;2,05776
17,4;20,98;84,5;3,77256
2,4;20,78;80;1,02888
40,4;20,68;80,25;1,02888
0;22,14;79,25;2,05776
0;null;77,5;2,05776
14,5;20,58;81,25;2,40072
1,3;19,88;77,25;4,45848
0;21,24;82,5;2,40072
8,4;20,98;81;3,77256
1,8;20,32;83,5;3,4296
19,5;21,26;83,5;2,40072
2,8;21,4;77,25;2,40072
33,7;20,78;81,5;0,68592
0;21,84;86;1,37184
1;22,68;79;0
19,6;20,76;83;3,08664
31,9;20,56;81,5;3,08664
0;22,86;63,75;2,74368
0;22,98;71,5;3,08664
0;21,56;80,75;3,4296
0,1;21,46;87,75;2,40072
11,7;19,66;89,25;2,05776
6,7;20,4;90;2,05776
22,6;19,78;88,75;2,05776
1,3;20,84;88,25;1,7148
13,8;21,24;79;2,05776
0;20,1;88;8,40252
2,5;19,96;85,25;2,40072
5,6;21,76;72,25;1,37184
3,2;20,74;86,5;1,7148
19,4;21,6;80,25;2,05776
4,6;20,66;88;2,74368
41,3;19;94,25;1,37184
21,6;21;75;2,05776
0;21,52;81,5;3,77256
0;22,8;70;2,74368
0,2;21;81,5;1,7148
9,2;20,58;87,25;1,7148
0,3;22,6;73,25;2,74368
0;22,4;70;2,40072
13,4;21,76;82,25;2,40072
0,4;21,14;76,5;2,74368
0,2;22;75,75;2,74368
3,4;19,64;90;3,08664
3,1;21,02;80,5;3,08664
7,1;20,82;83,75;2,05776
0,5;20,2;83,75;2,40072
2,4;22,3;66;2,05776
0;20,92;85,5;2,05776
29,7;21,16;78;1,37184
5,7;20,32;90,25;2,40072
14,1;21,7;78;1,37184
24,4;21,94;76,75;1,37184
0;23,06;64,5;2,05776
0;23,04;56,75;3,77256
0;22,3;65,25;1,37184
4,2;21,04;81,75;1,37184
1,2;21,08;84,5;1,02888
0,4;20,96;82,25;6,17328
0;21,28;77,5;3,77256
0;21,24;79,25;4,45848
0,2;22,04;74,25;3,4296
6,5;21,72;80,25;2,40072
15,7;20,28;86,75;1,37184
5,1;20,66;80,5;2,05776
8,8;21,84;74,75;0,34296
15,6;21,06;80;0,34296
1,3;21,32;78,5;1,7148
0,6;22,7;70,5;2,74368
0;23,28;57,5;1,7148
0;23,34;61;0,68592
0;22,02;75,5;2,05776
0,3;21,82;80,25;2,05776
0,1;22,58;85,25;0,68592
10;21,24;85,5;0
9,4;23,66;60;1,37184
0;23,2;61,75;0,34296
0;22;79,75;0
1,2;23,86;62,75;1,37184
0;23,58;59;0,34296
0;23,74;68,5;1,37184
0;23,64;70;2,74368
0;24,58;40;0,34296
0;25,26;57,25;2,05776
0;24,02;63,75;0,68592
0,2;22,9;68;0,34296
0,5;21,12;83;0
6,6;22,34;67,5;3,4296
3,7;22,16;70,25;2,40072
0;21,1;79;1,37184
20,4;20,62;83,75;1,02888
1,7;21,6;81,25;0,34296
0;21,8;74,5;1,37184
0;23,48;65,25;1,37184
0;23,82;62,5;1,37184
0;24,02;52,5;3,08664
0;23,32;64,75;2,05776
0;21,5;81,5;0,34296
12,3;21,2;81,75;2,05776
6,7;21,8;78;3,4296
1;22,64;60;2,05776
0;23,18;60,5;1,02888
0;23,18;70,25;0,68592
27,6;21,54;78,25;1,02888
4,4;20,46;80,25;1,7148
13,3;22,16;80;1,02888
2;21,6;83,75;0,68592
0,4;21,4;76;3,4296
0,1;22,02;75;2,05776
1,6;21,88;83,25;0
0;21,12;82,25;0,34296
0;21,14;81;0,34296
17,8;19,9;82,25;2,05776
28,7;20,1;88,75;0,34296
1;20,7;78,5;1,37184
0;21,38;71,25;3,08664
0;20,14;82,5;0,34296
20,4;20,46;91,25;3,4296
5,2;20,7;78;1,7148
0,1;21,78;78,25;1,02888
2,3;22,36;60;2,74368
0;22,24;57,25;0,68592
0;23,72;51;1,7148
0;24,22;60,25;2,05776
0;23,12;69;1,02888
0;22,52;62,25;3,08664
0;22,16;57,75;1,02888
0;23,2;55;3,4296
0;22,92;59,5;1,37184
0,2;20,24;79,5;1,02888
1,3;20,18;80,25;1,7148
0,6;21,02;71,25;4,11552
0;21,24;79,25;1,02888
6,7;22,6;71,75;2,05776
0,2;20,9;89,75;0
4,9;21,98;80,5;0
2,1;21,72;81,25;2,05776
0;20,8;85,75;0
72;21,4;78;1,02888
0;21,08;82,75;2,05776
0;21,08;90,25;0,68592
13,8;21,84;79,25;0
9,8;22,34;73,25;0
0;22,56;75;1,02888
14,8;22,02;78,25;0,68592
1,2;22,62;73,75;2,74368
0;21,82;73,5;2,74368
0;20,1;86,75;2,40072
18,6;21,22;66,5;2,40072
0;19,24;90;4,45848
0;20,06;75,75;2,05776
0;19,98;77,25;4,45848
0;21,54;68,5;1,7148
0;21,98;65,75;1,37184
0;21,42;75;1,7148
28,6;21,5;78;0,68592
0;21,5;80,25;1,7148
4,6;20,66;85,5;1,37184
31;20,3;65,5;1,02888
0;20,36;67,75;0
0;20,56;66,75;1,02888
0;21,34;70,25;0,34296
0;21,36;67;0,68592
0;19,84;73;1,37184
0;20,28;63;2,05776
0;20,68;64,75;1,7148
0;20,8;65,25;1,37184
0;21,14;64;0
0;21,28;72,75;0
1,1;20,92;69,5;0,51444
0;19,5;63,25;0,34296
0;20,06;63,75;0,34296
0;21,3;62,75;0,68592
0;20,3;65,75;0
0;19,98;66;1,02888
0;21,24;43,25;1,02888
0;18,86;56,5;1,37184
0;18,98;55;0
0;18,28;57,25;2,40072
0;18,38;57,75;3,08664
0;18,36;63,75;2,05776
0;19,24;65,25;1,7148
0;19,56;65,75;3,08664
0;19,8;67,75;3,4296
0;20,5;63,75;1,7148
0;20,54;66,25;0,68592
0;22,16;53;1,7148
0;20,88;59,25;2,74368
0;20,48;73;0,68592
0;20,46;70,5;0,34296
0;19,74;64,5;1,37184
0;19,48;58,5;1,7148
0;18,48;60,5;1,02888
0;18,2;62,75;3,08664
0;19,08;54,5;2,05776
0;18,74;56,5;2,40072
0;19,3;56,5;2,05776
0;19,18;67,75;1,37184
0;20,6;58,5;1,37184
0;20,42;61,5;0,34296
0;22,4;56,75;1,37184
0,5;22;54;0,68592
0;21,54;51,75;2,74368
0;21,78;53,5;2,05776
0;20,18;71,25;1,37184
1,7;18,48;85,5;1,37184
0,2;19,44;58,75;1,37184
0;19,96;59,5;1,02888
0;18,9;58;2,05776
0;17,54;60,25;1,02888
0;18,48;51,5;1,7148
0;18,02;56,75;0
0;18,34;53,25;1,02888
0;17,56;58,25;1,02888
0;17,9;61,25;1,7148
0;19,5;57,5;2,05776
0;18,18;42,25;1,7148
0;17,72;64;3,4296
0;18,8;65,25;1,7148
0;17,92;60;1,37184
0;17,26;49;1,37184
0;18,08;47,5;0,34296
0;18,18;49,75;5,1444
0;16,88;51,75;4,45848
0;16,76;59,5;2,74368
0;18,36;43,75;1,02888
0;18,28;55,25;0
0;18,78;53,25;0,34296
0;20,46;45,5;0
0;20,44;54,75;0,34296
0;21,2;47,25;1,37184
0;21,1;49,75;0,34296
0;19,82;67,75;1,02888
0;19,78;54;0
0;21,5;49,25;1,02888
0;22,64;51,75;0,68592
0;22,26;42,75;2,05776
0;21,7;43;0,34296
0;19,74;50,75;3,08664
0;18,54;63,75;7,03068
0;18,86;63,25;4,45848
0;19,44;50,75;2,74368
0;19,34;64,25;3,08664
0;20,68;49;1,37184
0;19,98;39;0,68592
0;20,24;40,75;2,74368
0;20,28;51;1,02888
0;20,06;57;0,34296
0;21,32;46;3,08664
0;21,06;47,25;1,7148
0;21,56;45;3,08664
0;20,38;46,5;2,05776
0;19,58;43;1,37184
0;20,12;41;1,02888
0;21,54;36,25;1,37184
0;21,86;28;1,7148
0;21,38;40,25;1,37184
0;21,36;37;1,37184
0;21,8;44;2,74368
0;22,34;46,5;2,05776
0;22,48;39,25;1,7148
0;21,68;40,5;2,74368
0;22,32;35,5;2,40072
0;21,44;43;4,45848
0;20,28;42,75;3,08664
0;20,04;49,25;3,4296
0;20;52,25;2,40072
0;22,38;43,75;1,37184
0;22,7;46;1,02888
0;20,48;57;2,40072
0;21,16;47,5;2,05776
0;22,72;38,5;1,02888
0;24,66;29,25;1,02888
0;23,78;50,5;0,68592
0;24,66;52;1,7148
4,5;23,22;61,5;1,7148
0;22,72;70,75;0
4,5;21,28;80,25;0
4;22,06;77,5;1,7148
8,9;21,4;77,75;1,02888
0;21,94;68,75;1,7148
23,2;22,3;71,75;3,25812
17,6;23,64;58;2,74368
0;24,5;52,75;2,74368
0;24,36;53;1,37184
0;25,36;52;2,74368
0;23,22;56,75;3,77256
0;21,68;51,5;4,62996
0;22,28;45;2,05776
0;23,18;37,5;3,08664
0;25,34;40,25;3,08664
0;22,46;35;2,05776
0;23,2;43,25;2,40072
0;24,56;48;2,05776
0;23,92;55,75;2,05776
0;22,58;63;2,74368
0;23,82;53,5;3,77256
0;24,78;47;2,74368
0;25,08;43,5;1,7148
0;25,28;36,25;1,37184
0;25,84;31,5;2,05776
0;25,46;38,5;3,08664
0;26,48;33,75;1,7148
0;26,74;33,25;1,7148
0;26,58;39,25;1,37184
0;26,8;47,75;3,4296
0;26,82;48,75;0,68592
0,1;25,36;64,25;3,4296
0,4;25,14;60,25;2,74368
7,9;23,48;71,25;1,02888
0;24,54;61;1,7148
0;25,94;53,75;3,4296
