precipitacao;pressao;temperatura;umidade
9.7;886.9;18.8;97
4.6;883.5;23.6;77
13.1;884.9;19.1;98
.1;886.6;21.2;84
4.7;884.6;23.1;73
0;885.9;20.7;91
0;889.1;21;85
0;886.6;24.8;68
10.2;888.1;18.9;97
.2;890.2;22;81
0;887.7;25.9;60
0;888.2;21.8;71
0;888.6;22.5;74
0;885.7;27.6;47
0;886.7;22.9;72
0;887.8;23.2;68
0;885.1;27.8;46
0;885.9;23.3;64
0;887.8;23.7;62
0;886.1;28.4;46
0;887.7;24;63
0;889.3;24.3;68
0;886.6;29.3;47
0;887.4;23;72
0;886.7;25.5;65
0;884.2;29.6;46
0;884.9;22.5;81
0;886.7;24.4;69
0;884.3;29.1;47
0;886.8;23;68
0;889.1;23.9;76
0;885.3;28.1;56
6.2;887.3;22.1;91
.1;889.5;24.1;76
3.4;887.3;23.4;76
0;886.9;21.5;90
0;888.7;23.5;78
0;886.3;26.4;62
1.4;888;21.2;88
.1;887.7;23.3;84
1.4;885.1;22.5;84
13.3;886.7;20.2;94
.1;886.9;22.4;86
.4;884.2;25;73
12.1;886.3;19.4;91
9.1;887.3;22.9;69
0;884.3;28.4;47
0;885.9;22.4;86
1.1;887.1;23.2;63
0;884.6;27.3;54
0;887.4;21.5;85
0;888.5;22.2;82
0;885.8;27.2;52
1.1;888.2;20.4;88
3.5;887.9;23;78
0;884.7;27.2;55
0;886.7;22;81
0;886.9;20.5;80
0;883.5;26.4;55
0;886.1;17.6;90
0;887.4;19.9;88
6.2;886.2;19.6;94
2.1;888.2;19;94
22.4;890.5;18.6;97
3.9;888.7;20.7;87
.6;890.7;19;97
.2;891.9;20.2;87
0;887.5;25.1;67
0;889.4;21.3;87
7.5;890.7;21.2;85
0;889;23.4;71
0;891;19.8;93
0;890.6;20.5;86
0;887.8;24.5;66
0;890.5;20.2;85
0;890.1;19.6;87
0;887.1;23.8;67
1.6;889.1;19.6;95
.5;889.3;20.9;83
1.9;887.5;21.2;87
.9;888.5;19.1;97
5.1;888.7;19.7;89
14.8;886.1;20.7;91
.4;884.1;19.5;94
7.5;888.3;20;92
5.1;885.7;22.5;88
25;887.7;19.6;97
.1;889.4;20.2;91
0;887.5;23.2;75
0;889.7;19.9;87
0;890.6;19.6;79
0;888.3;24.5;59
0;890.1;19.5;76
0;890.7;19;77
0;888.6;24.5;54
0;889.8;19.4;81
0;892.3;19.2;72
0;889.8;24.5;50
0;890.2;19.4;77
0;891.5;18.9;72
0;889;24.4;52
0;890.3;19.3;71
0;891.8;19.5;73
0;888.7;24.7;45
0;889.8;19.5;72
0;891.3;20.6;62
0;888.6;24.8;49
0;890.5;20.1;66
0;892.3;21.1;63
0;889.4;25.3;45
0;890.6;19.3;72
0;890.7;21.3;57
0;887;26.1;39
0;889;18.7;77
0;889.9;21.8;56
0;886.6;25.9;35
0;888.3;18.8;68
0;888.6;22.5;48
0;885.7;26;33
0;887.1;20.5;65
0;888.3;22.2;58
0;885.7;26.7;39
0;887.7;19.7;76
0;889.1;21;74
0;886.5;26.7;41
0;887.4;19.5;81
0;889.4;19;86
0;888.1;21.8;69
.2;889.7;19;87
0;890.7;19;82
0;888.7;22.8;64
0;890.5;18.3;89
0;891.7;17.3;87
0;889.5;21.3;66
0;891.7;17.8;82
0;892.1;17.2;85
0;888.9;23.4;53
0;890.1;18.7;74
0;891.3;18.2;73
0;889.3;24.2;41
0;890.3;19.1;69
0;890.1;20.1;66
0;886.6;23.7;51
0;888.5;16.9;75
0;889.3;20.4;74
0;886.6;25.7;56
0;887.9;18.1;87
0;889.3;22.3;71
.2;886.7;23;71
5.5;888.5;19.3;94
.2;889.7;19;94
.8;886.9;24.4;61
0;888.5;20;87
.7;889.1;20.6;84
3.2;886.3;22.8;78
15.1;887.9;18.3;97
.4;889.7;18;97
0;887.7;23.5;68
0;889.7;18.9;90
0;891.1;18;91
0;888.5;23.5;61
0;890.2;19.6;80
0;893.1;18;84
0;890.1;22.4;60
0;890.9;19.5;74
0;892.6;17.7;87
0;890.2;21.4;70
0;891.8;18.2;86
0;891.9;18.2;79
0;888.9;25.3;48
0;890.3;19.6;75
0;891.7;20.1;76
0;888.9;24.7;57
0;889.4;20.5;71
0;891.7;22.5;73
0;887.9;27.1;47
0;889;20.5;81
.3;890.5;18.9;93
0;886.6;26;53
0;888.7;19.5;89
.2;888.9;20.4;87
0;886.2;24.8;58
0;888.1;19.5;80
0;888.6;18.2;79
0;886.3;24.8;44
0;887.5;16.5;74
0;889;16.7;56
0;887;26.2;31
0;888.2;16.2;68
0;889.8;18.1;51
0;887.3;24.7;39
0;889.3;17.7;60
0;890.6;17.2;59
0;888.3;23.5;39
0;889.5;16.5;71
0;891.1;15.8;69
0;888.1;22.5;46
0;889.3;16.7;68
0;890.5;17.5;62
0;887.8;23.7;41
0;889;16;79
0;889.7;18.7;65
0;886.6;25.4;40
0;888.6;17.1;72
0;889.7;21.3;65
0;886.9;25.1;43
0;889;17.4;83
0;890.3;21.7;66
0;887.8;27.2;41
0;889.4;21.3;71
0;892.1;20.9;72
0;888.9;24.8;55
0;890.5;20.7;72
0;892.2;20.6;75
0;888.9;25.7;54
0;889.4;20.4;75
0;891.8;20.8;70
0;888.6;26.8;49
0;890.6;20.6;75
0;892.3;19.8;74
0;889.9;26;45
0;891.1;20.1;73
0;891.3;20.9;64
0;888.7;25.8;46
0;889.9;20;75
0;890.5;21.1;67
0;887.4;25.4;40
0;888.6;18.4;71
0;890.7;21.9;53
0;888.2;24.7;36
0;889.3;19.7;62
0;891.1;21.9;58
0;889;25.7;34
0;889.3;20.7;56
0;889.8;21.6;52
0;886.5;25.6;41
0;888.6;20.9;54
0;891.4;21.2;54
0;888.9;26;37
0;890.6;20;56
0;891.3;20;57
0;889;24.7;42
0;887.5;19.1;64
0;893.1;17.5;67
0;890.6;22.4;43
0;892.7;16.9;77
0;893.8;16.3;86
0;891.1;22.5;55
0;892.5;18.6;74
0;891.4;16.4;85
0;890.7;20.1;63
0;891.3;17;81
.3;892.5;15.2;94
0;890.2;21.7;60
0;890.9;17.1;81
0;893;18;68
0;889.9;24.1;46
0;891.1;17.7;78
0;892.6;19.2;81
0;889.7;24.9;39
0;891.3;19.2;65
0;891.4;17.9;63
0;889.4;25.1;30
0;891.1;18.1;58
0;891.5;17.2;61
0;889;23.4;30
0;889.7;16.3;67
0;889.1;18.2;59
0;885.9;25.2;44
0;888.1;19.2;71
0;899.3;18.1;80
0;887.4;25.5;43
0;888.1;19.8;70
0;890.6;19.9;65
0;888.5;24.6;45
0;889.4;19.5;63
0;889.7;21.1;54
0;887.4;24.9;37
0;887.5;19.3;55
0;888.2;21.6;48
0;886.1;26.7;33
0;887.8;17.8;77
0;890.2;18.9;66
0;887.7;24.8;40
0;888.6;18.4;65
0;890.2;18.1;68
0;888.6;22.5;53
0;889.1;17.7;72
0;888.2;18.6;64
0;886.5;23.3;44
0;887.4;16.4;72
0;888.7;20.9;60
0;885.7;25.1;40
0;886.5;17.8;74
0;888.6;21.5;61
0;885.7;24.5;46
0;887.4;18.5;79
0;889.3;20.4;67
0;886.5;25.9;35
0;888.2;19.6;59
0;889.7;20.4;52
0;886.9;26;38
0;888.2;20.4;61
0;891;18.7;69
0;888.7;24.1;39
0;890.9;18.8;63
0;890.7;18.9;64
0;887.5;24.4;34
0;886.5;18.9;58
0;889.4;19.7;55
0;886.2;24.4;40
0;887.1;17.2;71
0;889.3;20.3;58
0;886.5;25.3;37
0;888.3;18.9;63
0;890.7;21.6;51
0;889.3;26.1;33
0;888.9;19.9;51
0;889.8;20.3;47
0;887.8;24.7;23
0;889.1;16.7;64
0;890.3;19.3;57
0;888.3;25.3;38
0;889.5;19.9;59
0;889.9;20.1;44
0;887.8;25.5;35
0;889;19.2;62
0;890.9;20.4;47
0;888.6;25.7;28
0;890.1;16.5;63
0;891.7;21.3;43
0;888.5;26.5;22
0;889.9;20.5;38
0;890.5;21.8;42
0;889.7;25.1;31
0;890.5;18.9;44
0;891.8;18.9;51
0;889.4;24.6;28
0;891.1;18.6;48
0;892.3;17.5;70
0;889.7;23.9;38
0;890.7;18.5;57
0;892.1;16.9;72
0;889.3;23;36
0;890.3;18.8;51
0;891.3;14.8;68
0;890.1;22.9;40
0;890.6;18.5;62
0;891.3;17.5;58
0;888.9;24.1;33
0;889.5;18.7;56
0;890.7;17.7;73
0;888.3;24.4;37
0;889.1;18.5;58
0;890.2;19.7;62
0;887.3;24.9;36
0;888.7;19.1;50
0;890.7;18.7;53
0;887.8;24.1;34
0;889.5;18.3;51
0;890.2;18.5;52
0;888.1;24.6;38
0;890.1;19.3;54
0;892.6;18.4;67
0;889.9;24.5;39
0;890.9;19.1;57
0;891.9;17.5;64
0;889.5;24.3;34
0;890.2;19.1;58
0;891.7;17.5;80
0;888.5;25.1;39
0;890.3;20.1;60
0;891.8;19;68
0;888.7;24.2;45
0;890.3;19.7;63
0;891.5;20.7;45
0;888.7;26.1;32
0;890.2;21.4;43
0;891.5;21.6;41
0;889.3;26.4;24
0;890.6;18.3;57
0;892.8;17.2;54
0;890.3;23.4;39
0;892.1;18.4;62
0;894.3;15;81
0;890.7;22.9;35
0;891.9;18.6;49
0;893.1;16.6;74
0;891.3;22.7;41
0;893;18.8;54
0;894.6;15.8;71
0;892.7;22;41
0;893.9;17.4;50
0;895.1;16.3;61
0;892.5;22.5;34
0;893.7;17.5;49
0;894.3;14.6;77
0;891.8;22.3;37
0;892.9;17.3;54
0;894.2;15.1;67
0;891.3;22.7;41
0;892.9;17.4;47
0;893.7;15.6;65
0;891.3;22.9;43
0;894.6;17.2;69
0;894.5;16;65
0;891.7;22.5;38
0;892.6;18.4;51
0;893.3;17.6;63
0;890.2;22.9;41
0;890.2;19.5;56
0;890.7;18.8;63
0;887.3;24.8;35
0;888.5;20.8;46
0;889.4;20.9;48
0;886.9;26;32
0;887.7;21.2;46
0;888.6;21.3;49
0;885.9;26.8;31
0;887.3;21.1;48
0;889.1;20.5;50
0;886.5;26.6;31
0;887.7;21.5;45
0;888.5;21.5;54
0;884.7;27.3;29
0;886.9;21.2;53
0;887.4;23.4;45
0;883.3;30.1;26
0;885.9;21.8;48
0;887.9;24.8;44
0;884.2;29;38
0;886.3;22.4;52
0;888.1;23.9;43
0;883.9;31;26
0;885.8;22.9;55
0;887.3;23.7;48
0;883.9;29.9;30
0;886.5;23.4;51
0;887.9;22.6;49
0;884.9;29.7;25
0;887.1;23.5;52
0;888.9;24.3;41
0;886.2;31.2;28
0;887;24.3;52
0;889.4;16.9;65
0;885.9;27.2;37
0;887.1;20.5;63
0;889.3;18.2;65
0;886.3;26.5;44
0;888.2;20.7;62
0;889.9;14;99
0;886.9;25.2;47
0;888.3;20.7;65
0;890.1;17.3;76
0;886.6;27.1;37
0;887.7;21;58
0;889.7;17.9;61
0;886.3;26.1;34
0;887.1;20.1;44
0;889.4;18;65
0;886.1;25.8;20
0;887.7;19.6;31
0;889.3;18.3;31
0;886.6;27.2;17
0;888.2;20.8;36
0;889.8;19.6;50
0;886.7;26.8;30
0;888.2;21.6;40
0;888.6;20;47
0;885.8;27.4;29
0;887.1;23;40
0;889.5;23.5;39
0;888.1;28.9;25
0;888.5;23.8;35
0;890.9;22.5;42
0;888.1;28.7;27
0;890.5;24.7;39
0;892.2;22.3;43
0;889;27.8;24
0;890.6;22.3;32
0;891.3;19.7;59
0;887.1;26.4;28
0;888.1;22.3;34
0;890.6;20.1;51
0;886.7;26.6;32
0;888.9;21.9;42
0;891.8;20.8;47
0;888.6;27.2;22
0;889.7;22.6;37
0;891;20.9;46
0;888.1;27.4;30
0;889.4;22.4;35
0;889.5;21.3;48
0;886.5;27.9;32
0;887.6;23;43
0;887.8;23.8;37
0;884.7;28;31
0;886.3;23;42
0;887.8;25;35
0;885.4;29.5;23
0;887.3;24.3;36
0;890.1;24.1;38
0;887.5;29.3;22
0;890.3;22.5;45
0;892.1;22.7;34
0;887.7;29.2;16
0;888.9;23.7;32
0;889.8;25.1;27
0;886.7;30.6;14
0;888.5;23.8;30
0;890.1;23.7;37
0;887.1;28.7;20
0;888.7;23.1;34
0;891;21.3;43
0;887.8;27.3;24
0;889.9;22.6;37
0;892.6;22.5;47
null;null;null;null
null;null;null;null
0;890.9;23.3;38
0;887.5;28.8;23
0;888.5;23.3;26
null;null;null;null
null;null;null;null
null;null;null;null
0;889.5;24.4;38
0;885.4;29.3;22
0;887.1;23.3;48
null;null;null;null
null;null;null;null
null;null;null;null
0;887.8;27.9;34
0;884.6;31.8;21
0;886.3;23.8;45
null;null;null;null
null;null;null;null
null;null;null;null
0;886.7;26.3;41
3.6;883.7;22.4;68
18.4;885.9;19;80
null;null;null;null
null;null;null;null
null;null;null;null
4.4;892.2;18.2;91
0;889.8;21.8;73
0;890.5;20;84
null;null;null;null
null;null;null;null
null;null;null;null
0;890.3;22.5;62
0;886.6;28.9;29
0;887.7;24.1;40
null;null;null;null
null;null;null;null
null;null;null;null
0;887.6;27.7;29
0;884.9;31.3;19
0;886.6;24.7;39
null;null;null;null
null;null;null;null
null;null;null;null
0;888.6;26.1;30
0;885.1;32.9;14
0;887.3;27.1;18
0;889.8;27;32
0;885.1;32;19
0;886.9;26.9;32
0;888.6;26.5;39
0;884.9;31.2;20
0;886.1;26.5;21
0;887.8;26.9;32
0;884.5;32.3;12
0;886.2;27.2;24
0;887.9;28;34
0;884.3;33.9;20
0;885.9;27.6;29
0;887.6;30.2;22
0;884.4;34;12
0;885.8;28.1;18
0;888.6;26.5;29
0;885.6;31.9;19
0;886.7;27.2;29
0;888.4;27.2;36
0;885.5;32.9;22
0;887.5;25.9;44
0;889.5;29.4;30
0;886.4;33.9;15
0;888.4;28.6;25
0;888.7;31.3;21
0;884.2;35.6;15
0;886.2;26.4;36
0;886.5;30.9;27
0;883.2;33.2;24
0;885;25.8;43
0;886.8;28.1;41
0;882.1;31.4;35
0;885.2;23.4;63
0;889;20.4;80
0;886.5;26.3;50
0;887.7;20;86
0;889.4;23.9;64
0;885.9;29.3;39
0;887.1;25.3;56
0;888.6;22.1;67
0;884.2;28.4;44
0;887.4;21.7;70
4.5;888.9;22;73
0;884.6;29.5;45
0;886.1;22.9;54
0;888.4;24.6;52
0;884.6;30.7;35
0;887.1;24.3;56
0;888.6;25.3;57
0;885.1;30.5;31
0;886.6;25.7;51
0;888.5;23.5;64
0;884.2;30.5;30
0;885.3;25;56
0;887.2;20.9;75
0;882.9;29.3;39
37.2;884.4;20.1;89
28;888.3;18.3;95
1.3;885.8;20.2;87
.2;887.3;19.3;95
0;889.8;18.5;87
0;886.9;23;74
2.6;888.2;20.1;93
.1;889.8;21.5;79
0;886.9;24.5;68
2.8;888.6;19.9;95
.1;888.3;22.3;77
.2;885.1;23.6;76
0;886.4;21.4;76
6.2;888.3;21.3;81
.8;884.3;22;80
0;886.1;21.8;73
17.6;889.2;19;95
.8;883.6;22.9;74
0;885.3;20.2;87
0;886.1;22.3;73
0;883.3;26.3;59
0;884.6;21.9;76
0;884.9;20.9;80
0;883.1;24.2;71
11.4;884.2;19.9;92
0;887.5;23.1;71
.5;881.2;25.1;60
4.8;882.2;21.5;81
.1;885.5;19.1;85
.2;882.5;22.3;78
0;883.6;19.9;94
0;886.4;21;82
0;882.9;26.3;58
0;885.2;23.5;67
0;886.3;24.4;70
6.8;882.9;20.5;85
18.6;885.3;20.7;94
2.4;886.8;20.3;94
2.7;884.2;21.3;74
0;884.9;19.4;87
6.6;885.1;18.3;95
.2;882.7;22.8;74
0;883.1;19.8;89
0;884.3;20.8;85
0;881.8;26.5;55
.3;883.7;19.7;92
33.8;885.1;21.8;78
12.4;882.9;22.2;71
23.8;885;18.2;95
.2;886.9;20.6;83
0;884.2;24.8;59
4.4;885.7;18.8;83
.1;886.1;22.8;70
0;883.3;26.9;41
0;884.6;24.2;56
0;886.7;25.1;62
0;883.8;24.6;63
1.2;887;19.8;83
3.3;889.4;22.6;77
0;887.3;28.8;44
0;888.5;22.2;76
0;888.9;24.3;60
0;885.3;29.7;39
.9;887.7;23.2;66
0;889.5;25;58
0;885.1;26.1;56
0;886.6;22.1;70
0;889.9;22.4;74
0;885.8;26.6;56
0;887.7;21.3;70
0;888.5;25.4;61
0;885.3;28.2;50
5;885.1;21.3;91
18.2;887.1;21.7;74
0;885.5;26.4;62
6.2;886.1;19.5;94
.1;887.5;20.1;94
1.3;884.3;24.5;66
0;885.7;21.6;86
0;887.5;22;84
4.7;884.6;22.6;85
2.3;886.5;19.5;90
4.8;887.3;22.7;76
0;884;25.5;59
0;886.3;21.5;70
13.8;886.1;23;78
0;882.6;27.8;52
6.4;884.9;19.9;93
6.8;885.1;20.3;90
.5;882.9;25.2;66
1;883.5;20.9;89
0;884.9;22.5;83
.1;881.1;28;51
0;883.7;21.1;80
31.4;886.1;17.9;96
3.3;882.6;20.8;87
0;882.2;18.8;96
0;885.6;22.5;75
0;883;27.1;57
0;883.9;22.7;80
2.8;885.4;23.7;55
0;882.5;28;49
0;884.9;24.3;60
.1;887.8;21.8;79
0;885.1;27.3;52
0;886.6;22.6;77
0;889.1;21.4;80
0;887.7;22.7;73
0;888.3;19.6;83
.7;899.9;20.9;81
0;887.8;24.5;51
.1;888.7;20.2;74
0;889.7;18.9;85
.1;886.7;22.1;75
.5;888.2;18.5;88
0;888.5;20.3;76
0;886.7;26;46
0;887;21.9;59
0;889.4;22.3;64
0;886.6;26.8;47
0;887.3;23;57
0;889.8;21.9;66
0;887.2;26.7;46
0;888.6;22.1;63
0;890.2;22;63
0;887.1;26;46
0;887.4;22.3;59
0;889.5;22.9;60
0;886.6;26.1;43
0;886.6;21.9;66
0;889.9;24.8;52
0;885.5;28.6;39
0;885;24.1;52
0;887.1;25.7;50
0;884.3;29.3;40
0;885.1;23.4;64
0;887;26.1;50
0;884.5;30.7;34
0;886.6;24.6;56
0;889.1;24.6;63
0;885.7;28.7;47
0;886.7;22.5;69
0;888.2;26.5;65
.5;885.9;26.5;62
0;887;21.7;87
1.4;886.6;22.1;79
0;884.3;22.9;71
0;885.8;21;86
7.2;888.1;21.5;87
1.1;885.3;25.7;63
0;886.2;22.2;82
0;887.9;23.6;75
0;883.9;28.1;48
2.3;886.7;20.6;84
3.2;888.2;21.3;84
6.1;885.7;25.4;61
0;886.9;20.1;87
.2;887.5;20.5;79
0;883.9;25.7;52
.1;886.5;19.4;85
8.4;889;20;86
3.8;885.8;20.3;83
3.2;887.8;19.1;95
1.4;889.1;20.8;89
1;885.3;24.4;71
.1;887.4;19.8;91
0;889.7;23.1;71
0;887.1;27.9;43
0;887.8;24.1;51
0;887.4;25.3;69
0;884.3;29.6;40
0;885.3;24.4;53
0;886.6;25.3;50
0;884.3;30.2;35
0;885.1;24.9;52
0;887.3;24.3;54
0;884.9;28.5;39
0;888.1;21.9;74
0;887.3;24.7;59
0;885.5;30.1;30
0;885.9;25;48
0;886.7;25.5;50
0;883.9;30.3;27
0;883.5;24.8;47
0;885.9;26.2;61
6;884;20.9;91
.2;884.8;21.8;84
.1;887.4;20.3;86
.9;882.7;25.4;60
0;885;23;76
0;885.9;23.6;71
0;883.9;26.4;63
3.7;885.7;20.2;93
8.3;886.7;20.7;89
6;883.8;23.3;84
11.6;885.5;19.8;95
6.8;886.9;20.4;89
0;883.8;24.9;66
13.3;885.3;19.4;95
8.4;885.3;21.7;80
0;882.6;25.1;68
2.2;883.9;19.7;91
6.8;885.3;19.9;93
.4;882.7;25.7;58
4.3;883.5;20.4;93
11.8;885;18.4;95
0;882.6;25.7;62
5.6;883.9;20.4;95
.2;886.7;23.3;78
0;885.9;22;69
0;886.8;20;85
0;888.7;22.5;73
0;885.7;26.3;54
0;886.6;22.5;68
0;888.2;23.1;61
0;884.6;28;44
0;885.4;23.7;59
0;886.2;24.3;58
0;884.5;27.5;44
0;885.8;23.6;66
0;888.1;26;53
0;885.7;28.3;47
0;886.8;21.9;72
0;888.3;24.7;70
1.4;885.7;22.9;73
0;887.9;18.9;84
0;887.4;22;69
0;884.1;27.4;50
4.4;883.9;20.2;91
1.4;884.9;24.5;68
0;882.3;27.8;49
30.6;883.8;18.3;90
.4;886.5;19.9;82
0;886.3;24;63
9.6;996.5;19.4;91
.2;887.9;22.6;69
0;885.5;27.6;49
0;886.2;23.5;66
0;888.1;25.3;62
0;884.9;29.6;44
0;885.9;24.2;71
0;887.3;24;74
0;884.3;28.9;50
8;887;20.2;80
0;887.5;21.6;79
0;884.3;28.1;49
0;885.7;22.5;85
0;886.3;25.6;67
0;882.9;29.4;42
30;885.8;19.7;93
2.2;887.1;23.4;71
.4;884.5;24.3;70
3.4;885.7;20.7;91
0;886.5;22.2;78
0;885;26.1;64
0;885.7;21.2;89
0;887.5;22.3;82
10.6;885.8;19.4;92
.8;885.7;21.5;87
0;886.2;23.5;74
0;884.2;27.7;54
0;884.6;23.6;73
2.8;886.2;22.5;77
0;883.9;23.3;78
0;888.5;20.5;87
0;886.7;22.3;71
0;885.1;20.7;83
0;884.9;20.1;90
.2;886.6;21.1;81
10.4;884.9;19;99
.3;884.7;17.9;92
0;887.1;21.3;68
0;884.1;24.2;66
0;884.9;20.9;83
0;886.2;21.9;78
0;884;27.2;52
0;884.9;23;74
0;887.4;23.2;64
0;884.9;27.8;44
0;886.2;23.3;57
0;887.7;23.5;61
0;885.3;28;43
0;885.8;23.4;61
0;887.3;24.1;55
0;885.9;26.8;43
0;886.7;23.4;53
0;889.3;23;55
