precipitacao;temperatura;umidade
1,5;22,48;73,5
31,5;18,94;93,75
0;22,7;73
2,8;24,08;56
0,1;23,04;71,25
0;20,7;79,75
0,7;21,14;70
0,1;19,66;84
0,6;21,56;60
0;22,34;56,25
0;22,5;59,5
0;22,32;56,75
0;22,04;58,75
0;23,8;48,75
0;24,22;54,5
0;25,2;49
0;24,18;62
0;23,7;75,25
1,9;22,22;80,5
7,2;22,3;78,5
1,1;22,72;72,75
5,5;21,28;79,75
6,3;20,82;75,25
8,5;20,02;89,75
8,4;21,04;85,5
1,1;23,76;54
0;24,1;53,75
0;24,96;47,25
0;23,26;60,25
0;24,58;46,25
0;25,22;42,75
0;23,48;80
6,3;22,66;74,5
0,9;22,34;80
12;21,14;90,75
24,4;20,82;86,25
21,7;21,32;82,5
9;21,26;84,25
16,5;20,44;86,75
5,8;21,54;79,25
0;22,7;65,75
0;23,84;55,75
0;23,96;58,5
0;23,66;61
0;22,16;77,75
1,4;22,02;75,25
5,8;21,68;74,25
31;20,36;81,75
9,8;22,88;62,5
0;24,56;62
0;22,84;71
8;22,82;74,5
0;22,82;73,75
32,2;22,12;80,75
3,8;22,32;80
0;22,16;87
11,4;23,68;68,5
2,8;21,68;82,25
0;21,36;83,5
0,2;19,44;91
10,7;21,12;75
0;23,08;69,5
0;23,26;55,5
0;23,12;56,5
0;23,6;51
0;23,36;58,75
0;23,46;51,5
0;23,48;51,5
0;20,76;71
72,5;20,62;76
53,6;22,52;64,25
0;21,6;63,75
0;23,3;57,25
0;24,44;54,75
0;22,34;66,25
14,2;22,02;74
10,2;23,62;62,75
0;21,7;81,5
15,7;21,82;77
70,2;22,9;79,5
1,4;20,56;91,5
2,9;20,32;93,75
20,6;19,92;85,5
29;20,14;84,75
0;22,36;70
0,2;21,6;80
14;19,64;94,5
24,1;20,06;89,5
23,2;20,7;85,25
26,3;21,52;79,25
0;20,92;85
71,3;20,9;87,75
13,7;21,3;89,75
1,2;21,84;84,5
1,8;21,7;87,25
22,4;20,82;88,75
44,4;20,76;80
0;21,46;83
6,2;21,64;80,25
2,4;21,42;84
16,4;20,18;87,25
2,2;19,46;95,5
27,4;19,44;87,75
3,4;20,92;78
0,2;21,6;73,5
0;22,48;65,5
0;22,98;59,75
0;23,38;63
0;22,24;72
0,1;22,2;74,25
3,8;20,54;87,5
49,4;21,46;75,25
0;20,82;80,25
0;21,56;79,75
0;21,42;92,75
44,2;22,08;73,5
1,4;21,16;81,25
28;21,24;80,5
14,4;21,54;77,75
0;21,48;75
0;21,16;77
0;20,32;83
5,1;22,3;68,5
0;21,08;72
0;21,28;61,25
0;22,28;57
0;22,72;47,75
0;22,26;45
0;20,44;63,5
0;22,14;60,5
0;22,18;47,5
0;22,88;52
0;23,54;57
0;23,08;69
7,5;22,72;73,25
0;22,42;73,25
0;22,38;77,75
29,9;21,64;82,75
2,5;21,78;80,5
12,7;20,96;84,75
0,7;20,58;85,25
2;19,78;78,25
0;18,9;74
0;20,06;64,25
0;21,42;60
0;21,96;69,75
0;21,8;64,75
0;21,58;55,75
0;21,36;60,25
0;21,16;63
0;20,18;70,75
1,5;19,92;82,5
13,6;19,74;87,25
10,6;19,64;72,5
0;19,64;65
0;20,58;54,75
0;19,94;64,5
0;21;66,25
0;21,84;70,25
7;21,22;76,25
4,6;21,32;76,25
0;21,56;77,5
15,4;20,52;84,75
0;20,12;84,5
0;18,32;81,75
0;18,84;70,5
0;18,28;65,5
0;19,14;62,75
0;19,28;66
0;20,8;61,75
0;21,48;66
0;21,24;66,5
3,7;19,56;67
0;18,94;63,75
0;18,88;60,5
0;19,02;63,5
0;20,8;59
0;19,64;53,5
0;19,44;55,75
0;19,96;55,75
0;19,1;65,25
0;18,66;64,25
0;18,92;61,75
0;19,7;57,75
0;20,28;63
0;21,34;59,75
0;21,42;70
0;21;72,25
0;21,16;66,5
0;21,48;63,5
0;22,78;57
0;21,78;60
0;21,1;63,75
0;21,64;58,25
0;20,32;59,5
0;20,74;53,75
0;21,02;51,75
0;20,66;52
0;20,1;48
0;20,22;61,25
0;20,12;64,75
0;19,4;64,75
0;20,5;57,75
0;21,22;51,75
0;21,32;52,75
0;19,96;68,5
0;20,74;66
0;20,26;68,25
0,1;19,94;72,25
27,4;18,44;79,25
0,2;19,1;61,5
0;17,42;52,75
0;19,08;46,5
0;19,1;63,25
0;20,08;65
0;20,9;46,25
0;20,22;44,75
0;20;53
0;20,64;55,5
0;19,52;53,25
0;17,08;48,75
0;18,5;51,75
0;16,92;58,25
0;15,78;67,75
0;14,24;59,25
0;16,04;55,75
0;18,02;61,5
0;17,14;62
0;15,62;59,25
0;16,58;53,25
0;17,06;49,25
0;17,98;47
0;17,5;47,5
0;18,32;41,25
0;16,76;53
0;17,94;44,25
0;18,4;44,75
0;18,42;44
0;18,98;46
0;18,9;55,25
0;19,74;51,25
0;20,6;55,25
0;21,14;47
0;19,46;44,75
0;18,42;38,25
0;19,94;47
0;21,72;51
0;17,98;54,5
0;17,66;44,25
0;18,66;49,75
0;19,44;44
0;19,12;44
0;19,98;44,5
0;16,3;41,25
0;17,48;52,5
0;18,66;56
0;19,12;54,5
0;17,92;54
0;19,48;44
0;19,78;39,25
0;18,08;48,25
0;17,8;59,5
0;17,22;60,5
0;18,06;49,5
0;19,1;51,75
0;20,1;52,5
0;20,66;45
0;22,02;32,5
0;21,24;35,75
0;21,52;34,25
0;22,04;35
0;21,5;37,25
0;21,98;34,75
0;21,94;33,75
0;20,34;42,75
0;20,24;43,25
0;20,3;39,75
0;21,7;38,75
0;22,6;35
0;22,8;32,75
0;23,14;33
0;24,24;30,5
0;24,68;33,75
0;22,92;40,5
0;21,64;50,5
0;20,54;58,5
2,8;21,4;46
0;20,54;49,25
0;21,9;44,75
0;21,9;43
0;22,88;35,25
0;24,48;35,75
0;25,08;34,25
0;26,88;26
0;26,16;34,75
0;26,3;31,5
0;25,12;32,25
0;25,6;26,75
0;26,44;29
0;25,82;26
0;24,88;33
0;26,92;23,75
0;26,06;24,25
0;23,9;29
0;24,3;40
0;25,84;17,75
0;26,34;29
0;26,5;34,75
0;27,16;32,75
0;25,94;47,75
0;24,14;56,25
2;21,44;72
2,9;23;56,75
0;23,9;47
0;25,02;38,5
0;24,9;51,5
6,1;24,18;55
0;24,44;65,5
6,8;21,24;70
0;23,94;57,75
0,8;25;55,25
0;26,14;40,5
0;26,18;36,25
0;26,84;38,75
0;26,1;48,25
0;25,38;53,25
0;21,6;79,5
57,2;21,68;73,25
0;23,44;70,25
16,4;22,88;80,25
0;22;80,25
24,6;23,4;62,25
0;22,72;74,75
0;23,56;64
0;22;74,5
1;21,3;84,75
1,3;23,2;68,75
9,6;22,28;79,5
0,6;21,14;85,25
3,6;22,46;70,25
0;22,56;71,75
0;22,58;78
4,3;23,26;72,5
0;24,2;50,5
0;24,44;51,25
0;24,72;47,75
0;21,6;70,5
9,4;20,22;90
8;21,14;74
0;21,34;77,5
0;21,24;82,75
0;21,6;87,25
3,6;20,86;87
32,4;23,42;67,25
0;21,4;79,5
0,2;21,34;88,75
38,8;21,3;81
0,3;21,2;86,25
23,9;20,28;87,5
10,2;20,84;90,25
15,8;20,9;90,5
8,4;19,22;92,75
24;18,96;86,25
7,8;19,68;87
1,2;21,38;80,75
1;19,88;90,75
25,8;21,62;79
27,2;21,92;83,5
0,9;22,16;88,25
18;22,2;76,75
24,4;22,1;79,25
1,6;21,68;74,25
0;23,9;47,75
0;23,78;57,25
0;23,22;75
2,5;22,4;79,5
31,2;20,92;85,25
26,8;21,78;80,25
2,7;21,74;86,5
34,3;21,74;89,5
0;22,06;83,5
69,2;20,7;87,5
0;20,9;80
0;22,02;80,5
19,5;22,68;71,5
8;20,9;82,75
7,8;21,26;80,25
0,2;22,74;78
0;21,82;86,5
10,8;22,26;82,75
13;21,08;85
33,4;21,82;78,25
0,8;21,52;86,75
1;21,62;81,25
1,9;22,04;84
10,7;21,9;78,25
1,7;21,48;90
58,7;21,42;83,25
7,1;22,14;86,25
15,6;22,56;80,25
6,5;21,76;83,25
13,1;18,62;85
6,7;20,82;72,5
0;22,34;65
0;22,2;74
0,9;21,24;82,5
0,3;21,58;78,5
5,8;19,84;89,5
21,8;19,42;91,25
6,4;19,42;95
23;20,48;91,75
1,8;21,54;80,5
12,3;21,08;83
0;22,54;71,25
0;21,76;78,5
3,7;20;87,5
14,7;20,34;90,25
17;19,42;93,25
6,8;20,16;92,5
21,4;19,68;92,75
19;19,96;91,5
1,8;20,92;78,25
0,1;22,6;59
0;22,94;50
0;22,3;60
0;23,6;60
0;23,76;56,25
1,8;22,88;64,75
0;23,68;43,75
0;21,96;75
4,3;23,64;60
0;24,08;60,25
0;25,44;45,75
0;22,32;75,25
0;20,82;76,5
1,2;21,16;76,25
0;21,4;70,25
1,8;21,22;67,5
0;22,34;70,5
0;22,78;82,25
0,7;21,94;83,25
0;22,34;80,5
35,2;21,12;77,25
7,6;21,6;81,5
11,3;22,68;77,5
11,4;20,5;83
0;21,48;80,75
1,6;20,98;84,5
11,3;21,28;75,5
0,5;20,38;82,75
0;20,82;81,75
5,4;21,76;76
4,4;20,78;83,5
5,8;22,04;75,75
8;21,12;86
0,2;21,7;85,5
10,4;19,82;92
52,8;21,16;78,5
1,6;19,58;93
12,6;20,06;84,25
1;21,16;81
21,3;21,74;74,25
0,8;22,12;72,5
0;21,66;76,5
0;23,56;67,5
0;23,32;65,75
0;23,62;55,75
0;24,28;59
0;23,56;58,75
0,1;21,1;66,25
43;20,52;82,5
0,1;20,82;80
1,5;22,3;61,75
0;21,5;81,5
0,8;22,02;74
2;22,16;59,5
0;22,88;53,25
0;23,4;59,75
0;22,5;72,5
8,2;21,84;85,25
12,6;21,86;83
0,3;21,84;83,25
2,3;21,8;88,25
24;22,3;72
0;23,06;68
0;22,44;77
6,9;23,08;55
0;23,5;53
0;22,5;66,5
0;21,8;64,25
0;21,84;69,75
0;22,32;71,25
0;22,84;65,5
0;23,04;73,25
0;24,4;56,5
0;23,86;58,5
0;23,82;56,25
0;23,5;67,5
0;23,1;56,75
0;23,8;52
0;23,12;51,5
0;22,96;51,75
0;23,34;50,75
0;22,8;53,5
0;24,04;52,25
0;23,56;59,5
1,1;22,08;73,75
0;24,3;62,75
0;22,84;77,25
0,1;22,96;79,25
0;22,2;78
0;22,22;86,75
18,1;23,46;70,75
0;22,16;73,75
0;21,64;62,25
0;21,88;68,25
0;21,82;68
0;21,7;60,5
0;21,72;56,75
0;21,92;48,5
0;21,76;60,75
0;21,68;76
1,6;22,84;60
